subject,predicate,object,latitude,longitude,timestamp,source,CID
FRM901001,none,,21.38680798,-157.73443834,2026-08-03T22:00:00.000Z,UAV 4,1
FRT69002,move to,LOC_중앙킬존남측,21.38062316,-157.73220904,2026-08-03T22:00:00.000Z,UAV 4,2
FRT69001,move to,LOC_중앙킬존남측,21.38083053,-157.73220700,2026-08-03T22:00:00.000Z,UAV 4,2
FRM113003,move to,LOC_중앙킬존남측,21.38989816,-157.74194303,2026-08-03T22:00:00.000Z,UAV 4,1
FRAHS001,move to,LOC_목표A남측,21.38646271,-157.73469917,2026-08-03T22:00:00.000Z,UAV 4,1
FRMORT001,FFE-on-Location,LOC_적포병진지,21.39116652,-157.73700854,2026-08-03T22:00:00.000Z,UAV 4,1
FRT69003,move to,LOC_중앙킬존남측,21.38097332,-157.73240275,2026-08-03T22:00:00.000Z,UAV 4,2
FRT69005,move to,LOC_중앙킬존남측,21.38100014,-157.73233777,2026-08-03T22:00:00.000Z,UAV 4,2
FRM113002,move to,LOC_중앙킬존남측,21.38976066,-157.74169211,2026-08-03T22:00:00.000Z,UAV 4,1
FRT69004,move to,LOC_중앙킬존남측,21.38065700,-157.73204394,2026-08-03T22:00:00.000Z,UAV 4,2
FRM109003,move to,LOC_목표A남측,21.38680864,-157.73465517,2026-08-03T22:00:00.000Z,UAV 4,1
FRLAV003,move to,LOC_중앙킬존남측,21.38979255,-157.74180726,2026-08-03T22:00:00.000Z,UAV 4,1
FRMORT003,FFE-on-Location,LOC_적북측접근로,21.39122072,-157.73728393,2026-08-03T22:00:00.000Z,UAV 4,1
FRM113001,move to,LOC_중앙킬존남측,21.38988667,-157.74163464,2026-08-03T22:00:00.000Z,UAV 4,1
FRM109001,move to,LOC_목표A남측,21.38650020,-157.73425927,2026-08-03T22:00:00.000Z,UAV 4,1
FRLAV004,move to,LOC_중앙킬존남측,21.38969449,-157.74169810,2026-08-03T22:00:00.000Z,UAV 4,1
FRM901001,none,,21.38680798,-157.73443834,2026-08-03T22:00:01.609Z,UAV 4,1
FRT69002,move to,LOC_중앙킬존남측,21.38068426,-157.73228016,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69001,move to,LOC_중앙킬존남측,21.38089163,-157.73227812,2026-08-03T22:00:01.609Z,UAV 4,3
FRAHS001,move to,LOC_목표A남측,21.38650259,-157.73473592,2026-08-03T22:00:01.609Z,UAV 4,1
FRMORT001,FFE-on-Location,LOC_적포병진지,21.39116652,-157.73700854,2026-08-03T22:00:01.609Z,UAV 4,1
FRT69003,move to,LOC_중앙킬존남측,21.38101754,-157.73243779,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69005,move to,LOC_중앙킬존남측,21.38104437,-157.73237280,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69004,move to,LOC_중앙킬존남측,21.38070123,-157.73207897,2026-08-03T22:00:01.609Z,UAV 4,3
FRM109003,move to,LOC_목표A남측,21.38683747,-157.73467013,2026-08-03T22:00:01.609Z,UAV 4,1
FRMORT003,FFE-on-Location,LOC_적북측접근로,21.39122072,-157.73728393,2026-08-03T22:00:01.609Z,UAV 4,1
FRM109001,move to,LOC_목표A남측,21.38652903,-157.73427422,2026-08-03T22:00:01.609Z,UAV 4,1
FRM901001,none,,21.38680798,-157.73443834,2026-08-03T22:00:01.609Z,UAV 4,1
FRT69002,move to,LOC_중앙킬존남측,21.38068426,-157.73228016,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69001,move to,LOC_중앙킬존남측,21.38089163,-157.73227812,2026-08-03T22:00:01.609Z,UAV 4,3
FRAHS001,move to,LOC_목표A남측,21.38650259,-157.73473592,2026-08-03T22:00:01.609Z,UAV 4,1
FRMORT001,FFE-on-Location,LOC_적포병진지,21.39116652,-157.73700854,2026-08-03T22:00:01.609Z,UAV 4,1
FRT69003,move to,LOC_중앙킬존남측,21.38101754,-157.73243779,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69005,move to,LOC_중앙킬존남측,21.38104437,-157.73237280,2026-08-03T22:00:01.609Z,UAV 4,3
FRT69004,move to,LOC_중앙킬존남측,21.38070123,-157.73207897,2026-08-03T22:00:01.609Z,UAV 4,3
FRM109003,move to,LOC_목표A남측,21.38683747,-157.73467013,2026-08-03T22:00:01.609Z,UAV 4,1
FRMORT003,FFE-on-Location,LOC_적북측접근로,21.39122072,-157.73728393,2026-08-03T22:00:01.609Z,UAV 4,1
FRM109001,move to,LOC_목표A남측,21.38652903,-157.73427422,2026-08-03T22:00:01.609Z,UAV 4,1
ENGAZ001,move to,LOC_적북측접근로,21.37354533,-157.73305706,2026-08-03T22:00:04.058Z,UAV 4,3
ENGAZ002,move to,LOC_적북측접근로,21.37365508,-157.73340055,2026-08-03T22:00:04.058Z,UAV 4,3
ENM35002,move to,LOC_적북측접근로,21.37349825,-157.73305077,2026-08-03T22:00:04.058Z,UAV 4,3
ENM35001,move to,LOC_적북측접근로,21.37323204,-157.73332861,2026-08-03T22:00:04.058Z,UAV 4,3
ENGAZ001,move to,LOC_적북측접근로,21.37353908,-157.73325581,2026-08-03T22:00:06.146Z,UAV 4,3
ENM35002,move to,LOC_적북측접근로,21.37347075,-157.73326561,2026-08-03T22:00:06.146Z,UAV 4,3
ENM35001,move to,LOC_적북측접근로,21.37320227,-157.73354303,2026-08-03T22:00:06.146Z,UAV 4,3
ENGAZ001,move to,LOC_적북측접근로,21.37349435,-157.73342761,2026-08-03T22:00:07.792Z,UAV 4,3
