object,event,subject,lat,lon,timestamp,source
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72007","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37171334,-157.74179283,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37190602,-157.74155897,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72012","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37190849,-157.74165360,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69007","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38073461,-157.73204843,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72008","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37139748,-157.74167880,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72002","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37133020,-157.74157219,"2026-08-03T22:00:01.196Z","UAV 1"
"ENM35004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37323592,-157.73306169,"2026-08-03T22:00:01.196Z","UAV 1"
"ENGAZ001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37340439,-157.73279802,"2026-08-03T22:00:01.196Z","UAV 1"
"ENBTR60006","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36901575,-157.74047359,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38099355,-157.73223170,"2026-08-03T22:00:01.196Z","UAV 1"
"ENCAESAR004","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37601276,-157.73451630,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38100498,-157.73241007,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38103181,-157.73234508,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72011","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37133334,-157.74162222,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72004","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37158456,-157.74162961,"2026-08-03T22:00:01.196Z","UAV 1"
"ENM35002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37342526,-157.73284139,"2026-08-03T22:00:01.196Z","UAV 1"
"ENGAZ003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37341247,-157.73326747,"2026-08-03T22:00:01.196Z","UAV 1"
"ENM35001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37316569,-157.73312531,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72010","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37158071,-157.74154951,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72006","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37150079,-157.74179877,"2026-08-03T22:00:01.196Z","UAV 1"
"ENCAESAR003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37585208,-157.73459179,"2026-08-03T22:00:01.196Z","UAV 1"
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38680864,-157.73465517,"2026-08-03T22:00:01.196Z","UAV 1"
"FRM109002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38670406,-157.73454745,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69008","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38100128,-157.73245395,"2026-08-03T22:00:01.196Z","UAV 1"
"ENGAZ004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37339583,-157.73319448,"2026-08-03T22:00:01.196Z","UAV 1"
"FRM109001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38650020,-157.73425927,"2026-08-03T22:00:01.196Z","UAV 1"
"FRAHS002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38655078,-157.73465933,"2026-08-03T22:00:01.196Z","UAV 1"
"FRT69010","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38078925,-157.73209644,"2026-08-03T22:00:01.196Z","UAV 1"
"FRM109004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38683655,-157.73430863,"2026-08-03T22:00:01.196Z","UAV 1"
"ENM35003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37357706,-157.73315885,"2026-08-03T22:00:01.196Z","UAV 1"
"ENBTR60005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36901781,-157.74069579,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37134948,-157.74188101,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37149053,-157.74170555,"2026-08-03T22:00:01.196Z","UAV 1"
"ENT72009","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37116392,-157.74169832,"2026-08-03T22:00:01.196Z","UAV 1"
"ENBTR60007","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36889276,-157.74045808,"2026-08-03T22:00:01.196Z","UAV 1"
"ENBTR80005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.36888336,-157.74057799,"2026-08-03T22:00:01.196Z","UAV 1"
"ENM1A2003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37332137,-157.74325039,"2026-08-03T22:00:00.000Z","UAV 1"
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:00.000Z","UAV 1"
"ENT72007","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37116482,-157.74185204,"2026-08-03T22:00:00.000Z","UAV 1"
"ENT72003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37142892,-157.74159647,"2026-08-03T22:00:00.000Z","UAV 1"
