object,event,subject,lat,lon,timestamp,source
"ENM1A2003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37384968,-157.74305001,"2026-08-03T22:00:04.240Z","UAV 2"
"FRM901001","None","-",21.38680798,-157.73443834,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM1A2001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37396589,-157.74271991,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69007","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38073737,-157.73241752,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM35004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37318421,-157.73329719,"2026-08-03T22:00:04.240Z","UAV 2"
"ENGAZ001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37343149,-157.73316229,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69006","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38098961,-157.73260079,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM1A2002","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37409734,-157.74296753,"2026-08-03T22:00:04.240Z","UAV 2"
"ENCAESAR004","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-",21.37601276,-157.73451630,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69003","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38100070,-157.73277915,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69005","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38102684,-157.73271415,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM35002","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37336708,-157.73308854,"2026-08-03T22:00:04.240Z","UAV 2"
"ENGAZ003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37342198,-157.73361925,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM35001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37311575,-157.73335973,"2026-08-03T22:00:04.240Z","UAV 2"
"ENCAESAR003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37585208,-157.73459179,"2026-08-03T22:00:04.240Z","UAV 2"
"FRM109003","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38680864,-157.73465517,"2026-08-03T22:00:04.240Z","UAV 2"
"FRM109002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38670406,-157.73454745,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69008","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38099707,-157.73282303,"2026-08-03T22:00:04.240Z","UAV 2"
"FRM109001","Move to {-5499516.453323, -2249726.423604, 2310685.859186}","-",21.38650020,-157.73425927,"2026-08-03T22:00:04.240Z","UAV 2"
"FRAHS002","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38655078,-157.73465933,"2026-08-03T22:00:04.240Z","UAV 2"
"FRT69010","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38079062,-157.73246555,"2026-08-03T22:00:04.240Z","UAV 2"
"FRM109004","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-",21.38683655,-157.73430863,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM1A2004","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37400407,-157.74293952,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM35003","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-",21.37351380,-157.73340050,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72007","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37171334,-157.74179283,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37190602,-157.74155897,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72012","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37190849,-157.74165360,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72008","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37192395,-157.74163201,"2026-08-03T22:00:04.240Z","UAV 2"
"ENM1A2005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37390446,-157.74275931,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72002","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37182075,-157.74153564,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37187493,-157.74182101,"2026-08-03T22:00:04.240Z","UAV 2"
"ENT72001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-",21.37187772,-157.74166937,"2026-08-03T22:00:04.240Z","UAV 2"
